Source URL,Product Name,Printing,Rarity,Number,Market Price
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Brook,Normal,Common,ST01-011,$2.37
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,DON!! Card // Green Compass,Normal,DON!!,,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Diable Jambe,Normal,Common,ST01-016,$5.73
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Franky,Normal,Common,ST01-010,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Guard Point,Normal,Common,ST01-014,$0.49
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Gum-Gum Jet Pistol,Normal,Common,ST01-015,$0.53
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Jinbe,Normal,Common,ST01-005,$0.12
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Karoo,Normal,Common,ST01-003,$0.16
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Monkey.D.Luffy (001),Normal,Leader,ST01-001,$0.54
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Monkey.D.Luffy (012),Foil,Super Rare,ST01-012,$3.68
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nami,Normal,Common,ST01-007,$0.45
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nefeltari Vivi,Normal,Common,ST01-009,$0.19
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Nico Robin,Normal,Common,ST01-008,$0.13
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Roronoa Zoro,Foil,Super Rare,ST01-013,$1.00
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Sanji,Normal,Common,ST01-004,$0.23
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Thousand Sunny,Normal,Common,ST01-017,$0.19
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Tony Tony.Chopper,Normal,Common,ST01-006,$0.39
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-1-straw-hat-crew,Usopp,Normal,Common,ST01-002,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Black Maria,Normal,Common,ST04-011,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Blast Breath,Normal,Common,ST04-016,$0.17
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Brachio Bomber,Normal,Common,ST04-015,$0.16
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Ginrummy,Normal,Common,ST04-009,$0.09
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Jack,Normal,Common,ST04-008,$0.18
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Kaido (001),Normal,Leader,ST04-001,$0.44
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Kaido (003),Normal,Super Rare,ST04-003,$2.47
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,King,Normal,Super Rare,ST04-004,$0.56
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,"Lead Performer ""Disaster""",Normal,Common,ST04-014,$0.26
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Onigashima Island,Normal,Common,ST04-017,$0.44
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Page One,Normal,Common,ST04-012,$0.24
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Queen,Normal,Common,ST04-005,$4.38
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Sasaki,Normal,Common,ST04-006,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Sheepshead,Normal,Common,ST04-007,$0.07
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Ulti,Normal,Common,ST04-002,$0.25
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,Who's.Who,Normal,Common,ST04-010,$0.10
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-4-animal-kingdom-pirates,X.Drake,Normal,Common,ST04-013,$0.11
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-2-worst-generation,Basil Hawkins,Normal,Common,ST02-010,$0.41
https://www.tcgplayer.com/categories/trading-and-collectible-card-games/one-piece-card-game/price-guides/starter-deck-2-worst-generation,Bepo,Normal,Common,ST02-012,$0.14
